AA0001	Warning	Readability	True	There must be exactly one space character on each side of a binary operator such as := + - AND OR =.	There must be exactly one space character on each side of '{0}'.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0002	Warning	Readability	True	There must be no space character.	There must be no space character after '{0}'.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0003	Warning	Readability	True	There must be exactly one space character between the NOT operator and its argument.	There must be exactly one space character after '{0}'.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0005	Warning	Readability	True	Only use BEGIN..END to enclose compound statements.	Only use BEGIN..END to enclose compound statements.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0008	Warning	Readability	True	Function calls should have parenthesis even if they do not have any parameters.	You must specify open and close parenthesis after '{0}'.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0013	Warning	Readability	True	When BEGIN follows THEN, ELSE, DO, it should be on the same line, preceded by one space character.	When BEGIN follows THEN, ELSE, DO, it should be on the same line, preceded by one space character.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0018	Warning	Readability	True	The END, IF, REPEAT, UNTIL, FOR, WHILE, and CASE statement should always start a line.	The '{0}' keyword should always start a line.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0021	Warning	Readability	True	Variable declarations should be ordered by type.	Variable declarations should be ordered by type. Variables should be sorted like this: Record, Report, Codeunit, XmlPort, Page, Query, Notification, BigText, DateFormula, RecordId, RecordRef, FieldRef, and FilterPageBuilder. The rest of the variables are not sorted.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0022	Warning	Readability	True	Substitute the IF THEN ELSE structure with a CASE.	Substitute the IF THEN ELSE structure with a CASE.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0040	Warning	Readability	True	Avoid using nested WITH statements.	This WITH statement is nested inside another WITH statement at '{0}'.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0050	Warning	Design	True	Permission set extensions should not include permissions for objects defined in another application.	Permissions for the object '{0}' should not be added through a permission set extension because it is defined in another application.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0051	Warning	Design	True	Permission set extensions should not include permission sets defined in another application.	The permission set '{0}' should not be included through a permission set extension because it is defined in another application.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0052	Warning	Design	True	Permission set extensions should not include permission sets which include permissions for objects defined in another application.	The permission set '{0}' should not be included through a permission set extension because it includes permissions for objects defined in another application.	Microsoft.Dynamics.Nav.CodeCop.dll
AA0053	Warning	Design	True	Permission set extensions should not include wildcard permissions.	Wildcard permissions should not be included in a permission set extension.	Microsoft.Dynamics.Nav.CodeCop.dll
